科城路[商社电器],二郎[居然之家],1
科城路[商社电器],彩云湖站[朝阳路1站],1
陈家坪长途车站,南方花园D区,2
陈家坪长途车站,石桥铺[立交],2
石桥铺(北),石桥铺[立交],2
石桥铺(北),渝州路石桥广场,13
龙溪镇,华蓥路,1
松牌路,华蓥路,4
松牌路,金龙路(市检察院),2
金龙路(市检察院),加州花园[渝通宾馆],2
红旗河沟[东],加州花园[渝通宾馆],3
紫荆商业广场,红旗河沟[东],8
黄泥磅(轨道站),紫荆商业广场,10
黄泥磅(轨道站),红土地立交[西],13
红土地立交[东],红土地立交[西],7
红土地立交[东],红土地,12
红土地,大湾,3
临江门[解放碑],小什字[沧白路],4
临江门[解放碑],一号桥,2
汇景台,加州花园[渝通宾馆],2
金龙路(市检察院),汇景台,1
龙溪镇,金龙路(市检察院),1
江迎路,刘家坪[轨道站],1
江迎路,江迎路中段,1
江迎路中段,江溪路1站,1
江溪路1站,江溪路,1
江溪路口,江溪路,1
江溪路口,长江工业园[公寓楼],1
长江工业园[公寓楼],美的桥,2
美迎路口,美的桥,2
江迎路中段,江峡路南段,1
江峡路,江峡路南段,2
江峡路,江桥路,1
江桥路,重庆经开区管委会,2
通江大道5号站,重庆经开区管委会,6
刘家坪[轨道站],通江大道5号站,2
建新东路[1站],观音桥东环路[江北中医院],13
观音桥东环路[江北中医院],重庆儿童公园,4
鸿恩寺隧道[南],重庆儿童公园,1
鸿恩寺隧道[南],苏家湾[大庆村南],2
苏家湾[大庆村南],大石坝[轨道站],1
江北大石坝,大石坝[轨道站],9
石门齐祥灯饰,江北大石坝,12
肿瘤医院,石门齐祥灯饰,18
肿瘤医院,汉渝路(沙坪坝),19
沙坪坝站西路,汉渝路(沙坪坝),3
沙坪坝站西路,沙坪坝站南路,4
沙坪坝站南路,汉渝路(沙坪坝),6
重庆儿童公园,苏家湾[大庆村南],1
重庆儿童公园,建北二支路,4
建新西路[观音桥],建北二支路,3
万丰路,五里店,2
南桥寺(北),福佑路公交站场,4
南桥寺(北),盘溪[南],1
九村京闽茶叶市场,盘溪[南],5
九村京闽茶叶市场,江北大石坝,5
大庆村[安福福特4S店],大石坝[轨道站],7
航天职大,大庆村[安福福特4S店],11
航天职大,龙溪建材市场,9
花卉园[立交桥],龙溪建材市场,6
花卉园[立交桥],黄金堡[松树桥],4
红旗河沟(西),黄金堡[松树桥],10
大庙龙湖新壹街,红旗河沟(西),12
华新街(爱尔眼科),大庙龙湖新壹街,1
上清寺(中山三路),华新街(爱尔眼科),4
上清寺(中山三路),文化宫[市儿童医院],2
文化宫[市儿童医院],观音岩,15
七星岗[重庆牙科医院],观音岩,11
七星岗[重庆牙科医院],临江门[解放碑],4
重庆宾馆,小什字[沧白路],3
七星岗[重庆牙科医院],重庆宾馆,9
观音岩,中山支路[文化宫],2
牛角沱[上清寺](C号出口),中山支路[文化宫],7
观音桥[儿童眼科医院],大庙龙湖新壹街,3
花卉园(国瑞中医院),红旗河沟(西),11
花卉园(国瑞中医院),花园新村,11
花园新村,龙溪建材市场,3
九村京闽茶叶市场,盘溪市场,10
盘溪市场,盘溪[南],7
盘溪[北],盘溪[南],3
盘溪[北],南桥寺(西),1
福佑路公交站场,南桥寺(西),5
山千院,康恒路[国防医院],1
美堤雅城,康恒路[国防医院],1
美堤雅城,南亚,3
南亚,骏逸天下,4
桃源路,骏逸天下,5
五小区,桃源路,7
五小区,四小区,10
二小区,响水路[南坪],2
南坪[大帝学校],响水路[南坪],7
重庆会展中心,南坪[大帝学校],5
南滨路黄葛渡立交,重庆会展中心,3
南坪北路,重庆会展中心,6
万寿路口,南坪北路,1
丹回路,南亚,1
丹回路,美堤雅城,2
冉家坝余松路[龙山街道],渝安龙都,1
渝安龙都,龙山路中段,4
龙山路,龙山路中段,1
松石北路,龙山路,4
松石北路,龙山中学,3
金岛花园[花园新村],龙山中学,2
金岛花园[花园新村],花园新村,2
建新西路[观音桥],华新街(爱尔眼科),5
牛角沱鑫隆达[公交枢纽站],华新街(爱尔眼科),2
牛角沱鑫隆达[公交枢纽站],两路口,3
国际村,两路口,17
鹅岭,国际村,19
鹅岭,肖家湾,21
肖家湾,大坪,14
石桥铺(北),石桥铺,6
国际村,中山支路[文化宫],5
华新街西普站,牛角沱[上清寺](C号出口),5
华新街西普站,观音桥[儿童眼科医院],9
观音桥东环路[江北中医院],观音桥[儿童眼科医院],5
松树桥[花卉园],红旗河沟(西),1
松树桥[花卉园],花园新村,1
花园新村,时代大厦,3
龙山路,时代大厦,3
紫都城(北门),龙山路,1
冉家坝余松路[龙山街道],紫都城(北门),1
腾滨路口,大佛寺[龙湖郦江],1
猫背沱,腾滨路口,1
猫背沱,自贸办,1
谦泰路口,自贸办,1
谦泰路口,南滨路长嘉汇,1
窍角沱,南滨路长嘉汇,1
卫国路[武警医院],窍角沱,1
卫国路口(弹子石),卫国路[武警医院],5
卫国路口(弹子石),腾龙大道[11中],3
五里店[朝天门大桥西],腾龙大道[11中],2
五里店[朝天门大桥西],龙头寺公园东门,1
渝鲁[大道],天宫殿,5
泰山大道东段,天宫殿,4
泰山大道东段,重庆北站南广场,3
红土地,龙头寺公园东门,3
五里店[朝天门大桥西],红土地,3
五里店[朝天门大桥西],弹子石群慧路,3
卫国路口(弹子石),弹子石群慧路,4
谦泰路口,卫国路[武警医院],1
猫背沱,大佛寺[龙湖郦江],1
望龙门,道门口,7
望龙门,储奇门,7
储奇门,解放西路,5
石板坡[南纪门],解放西路,5
石板坡[南纪门],菜园坝南园[火车站],1
菜园坝[火车站],菜园坝南园[火车站],1
大龙山(轨道站),龙山路,1
大龙山(轨道站),渝安龙都,2
新城丽都[龙山街道],渝安龙都,11
新城丽都[龙山街道],南桥静月[五洲新村],2
冉家坝[安置房],南桥静月[五洲新村],2
龙山路,渝安龙都,5
金岛花园[时代大厦],松石北路,1
金岛花园[时代大厦],花园新村,2
花卉园(国瑞中医院),黄金堡[松树桥],8
建新西路[观音桥],观音桥小苑,2
牛角沱[车场],华新街(爱尔眼科),1
牛角沱[车场],菜园坝[火车站],1
望龙门,解放西路,4
丹龙路,江山多骄[小区],3
桃源路,江山多骄[小区],1
南城大道,四小区,6
南城大道,南坪[大帝学校],2
工贸,南坪[大帝学校],1
工贸,重庆会展中心,6
石黄隧道[石板坡],重庆会展中心,7
石黄隧道[石板坡],双溪沟[黄花园],7
黄花园大桥北[重庆银行],双溪沟[黄花园],7
大湾(重百),黄花园大桥北[重庆银行],4
大湾(重百),五里店,5
松石支路口[喜悦酒店],花园新村,3
松石支路口[喜悦酒店],SM广场,3
中合建材市场,SM广场,4
盘溪[东],中合建材市场,5
大湾,五里店,4
南坪开发路,工贸,3
南坪红星美凯龙,南坪开发路,1
南坪红星美凯龙,南坪西路[骑龙山庄],5
南坪西路[骑龙山庄],川江国际[南坪西路口],5
川江国际[南坪西路口],明佳路[加气站],1
桃源路,明佳路[加气站],1
丹龙路,骏逸天下,3
永宁路,雷家桥立交,1
永宁路,米兰路2站,1
米兰路2站,茶花小镇[公寓],1
金菊路口(茶园农贸市场),茶花小镇[公寓],1
金菊路口(茶园农贸市场),茶园派出所,1
茶园派出所,茶园[轨道站](2站),2
邱家湾,茶园[轨道站](2站),4
邱家湾,同景路,1
同景路,香溪路,1
茶园[轨道站](2站),香溪路,1
金科中央御院,茶花小镇[公寓],3
永宁路,金科中央御院,1
石子山体育公园[东],北环维乐口腔医院[地铁冉家坝站4号口],1
新南路立交,北环维乐口腔医院[地铁冉家坝站4号口],5
龙湖[西苑],新南路立交,2
龙湖[西苑],安家咀立交,5
安家咀(龙溪镇),安家咀立交,7
龙溪镇,安家咀(龙溪镇),1
龙溪镇,碧桂园,1
碧桂园,武陵路(加州百合园),1
加州百合园,武陵路(加州百合园),1
读书梁,加州百合园,7
读书梁,黄桷园,7
黄桷园,华唐路,5
牛角沱鑫隆达[公交枢纽站],华唐路,2
牛角沱鑫隆达[公交枢纽站],两路口(桥头),2
观音岩,两路口(桥头),4
观音岩,七星岗[中天广场],7
和平路[日月光广场],七星岗[中天广场],7
较场口[磁器街],和平路[日月光广场],2
中山支路[文化宫],七星岗[中天广场],1
华唐路,牛角沱[上清寺](C号出口),6
加州百合园,安家咀(龙溪镇),8
大庙龙湖新壹街,加州花园[渝通宾馆],17
新牌坊西,加州花园[渝通宾馆],1
龙湖东路,新牌坊西,1
龙湖东路,民安大道[泰山大道西段],1
中央美地[小区],民安大道[泰山大道西段],1
民安大道,中央美地[小区],4
人和[农贸市场],民安大道,3
人和[农贸市场],人和医院,6
和睦路[天湖美镇],人和医院,1
和睦路[天湖美镇],棕榈泉[西门],4
金福路,棕榈泉[西门],4
金福路,蓝湖郡,6
龙荣路口,蓝湖郡,5
龙荣路口,金童路(轨道站),12
汽博中心,金童路(轨道站),12
汽博中心,出口加工区,9
出口加工区,华荣市场,5
港腾路,华荣市场,1
港腾路,保税商品交易中心,2
汽博中心,龙荣路口,6
龙宁路,蓝湖郡,2
金福路,龙宁路,1
金福路,和睦路[天湖美镇],6
和睦路[天湖美镇],人和(路口),3
人和(路口),汪家桥,7
云杉北路[市消防总队],汪家桥,1
九建,云杉北路[市消防总队],1
九建,新牌坊北[哈弗轻舟],16
嘉州路(轨道站),新牌坊北[哈弗轻舟],17
嘉州路(轨道站),加州花园[渝通宾馆],25
建新东路[观音桥],大庙龙湖新壹街,1
金源路,金源路口[北滨路],12
金源路,东方家园,10
观音桥家乐福,东方家园,6
建新西路[观音桥],观音桥家乐福,1
观音桥东环路[江北中医院],建新北路,6
建新北路,大庙龙湖新壹街,10
航天职大,花卉园(国瑞中医院),1
江北大石坝,大庆村[安福福特4S店],4
盘溪[西],盘溪市场,5
玉带山,盘溪[西],10
石马河,玉带山,9
石马河立交西,石马河,4
石马河立交西,大川水岸[壹江城],4
大川水岸[壹江城],国奥村[江北农场],6
玉带山,大川水岸[壹江城],10
盘溪[西],盘溪[南],4
观音桥小苑,东方家园,3
柏林村,天文大道北段,1
秉文路,天文大道北段,1
秉文路,重庆经开区管委会,1
刘家坪[轨道站],天文大道,3
城南家园水云路,天文大道,1
长生桥[江南交通换乘枢纽],城南家园水云路,5
秉文路,通江大道5号站,1
四公里[枢纽站],南岸区妇幼保健院,3
南岸区妇幼保健院,四海路,4
罗家坝,四海路,3
罗家坝,海棠溪[轨道站],3
海棠溪[轨道站],江南体育馆,4
海棠溪,江南体育馆,3
上新街(南山路口),海棠溪,1
东西大道2站,上新街(南山路口),2
东西大道2站,东西大道1站,2
东西大道1站,东西大道,2
刘家坪[轨道站],东西大道,2
茶涪路(口),刘家坪[轨道站],3
茶涪路梨子湾,金科博翠园,2
茶涪路梨子湾,茶涪路口,3
茶涪路口,迎龙[医药城],3
迎龙[医药城],双谷社区(迎龙朝天门市场),3
上新街(南山路口),海棠溪新街,6
海棠溪新街,江南体育馆,2
牌坊恒大新城,龙洲湾南苑公租房首末站,2
牌坊恒大新城,龙洲湾南苑公租房,6
巴南区人民医院(大窝),龙洲湾南苑公租房,7
巴南区人民医院(大窝),鱼胡路口,3
箭河路,鱼胡路口,3
箭河路,江洲路,11
新民街口[鱼洞],江洲路,12
新民街口[鱼洞],鱼洞二校,8
下河路中段,鱼洞二校,6
下河路中段,解放街路口,2
新民街口[鱼洞],解放街路口,3
龙洲湾南苑公租房,龙洲湾南苑公租房首末站,2
天湖美镇,吉乐村,2
人和(路口),吉乐村,2
中华坊,汪家桥,6
幸福广场[南],中华坊,5
市发改委,幸福广场[南],1
市发改委,动步公园,1
新南路立交,动步公园,6
新南路立交,龙湖西苑,8
新牌坊西,龙湖西苑,9
松牌路,新牌坊西,4
航天职大,华蓥路,1
肿瘤医院,沙区人民医院,2
沙区人民医院,汉渝路(沙坪坝),6
华蓥路,龙溪建材市场,1
动步公园,上丁公园,4
渝富大厦,上丁公园,1
渝富大厦,中华坊,6
中华坊,雪松路[汪家桥],6
人和[轨道站],雪松路[汪家桥],5
人和[轨道站],川剧中心,3
天湖美镇,川剧中心,1
猫儿石,三湾路口,1
建新东路[观音桥],观音桥家乐福,3
观音桥东环路[江北中医院],观音桥小苑,10
猫儿石,二号桥,1
迎龙,迎龙镇政府,4
迎龙,蹇家边村,4
大坪村,蹇家边村,2
大坪村,双谷社区(迎龙朝天门市场),1
美迎路,茶涪路口,1
美迎路,美的工业园,1
美的工业园,重庆经开区管委会,1
长生桥[通江大道4号站],通江大道5号站,3
城南家园,长生桥[江南交通换乘枢纽],5
江龙路,重庆经开区管委会,1
江龙路,美的工业园,1
美迎路,美业路,1
茶涪路梨子湾,美业路,1
五里店,龙头寺公园东门,3
牛角沱鑫隆达[公交枢纽站],华新街西普站,2
歇台子,科园路口,3
科园四路康华医院,科园路口,5
科园四路口(老展览中心),科园四路康华医院,1
陈家坪(通用晶城),科园四路口(老展览中心),1
陈家坪(通用晶城),南方花园D区,1
陈家坪长途车站,科园四路康华医院,1
建新东路[观音桥],华新街(爱尔眼科),1
盘溪路[北段],金科十年城东门,1
盘溪路[北段],石子山体育公园(西),1
石子山体育公园(西),新城馨苑[小区],3
南桥寺(东),新城馨苑[小区],2
南桥寺(东),五洲新村,10
新城丽都[龙山街道],五洲新村,13
新城丽都[龙山街道],余松路,1
中合建材市场[东门],余松路,1
中合建材市场[东门],大庆村(北),1
大庆村(北),苏家湾[大庆村南],1
李家坪[嘉华大桥北],鸿恩寺隧道[南],1
李家坪[嘉华大桥北],虎头岩[仁品医院],4
虎头岩[仁品医院],石油路口[五一校],6
九坑子[大坪站D号出口],石油路口[五一校],5
大坪医院,九坑子[大坪站D号出口],6
大坪医院,大坪,2
南桥寺(北),五洲新村,2
南桥寺(北),新城馨苑[小区],3
长生桥[通江大道4号站],江迎路,1
江迎路,江峡路南段,1
江峡路,长江工业园[公寓楼],1
江峡路口,美的桥,1
江峡路口,江桥路,1
城南家园,通江大道5号站,1
唐家院子[北],重庆北站北广场,3
天江鼎城,唐家院子[北],2
天江鼎城,兴盛大道,7
长安大道[邦兴花园],兴盛大道,1
黄泥磅(轨道站),长安大道[邦兴花园],1
红土地,万丰路,2
石板坡[南纪门],双溪沟[黄花园],1
红土地,五里店,2
红土地立交[东],兴盛大道,3
天江鼎城,唐家院子[南],8
重庆北站北广场,唐家院子[南],2
回龙湾,白鹤枢纽站(南湖支路),1
回龙湾,工商大学学府苑(招呼站),1
工商大学学府苑(招呼站),重庆工商大学[五公里],1
重庆工商大学[五公里],四公里,12
黄花园,石黄隧道[石板坡],2
大溪沟(静园),黄花园,9
大溪沟(静园),大礼堂,11
大礼堂,牛角沱[上清寺](C号出口),3
龙湖[西苑],星光大道[龙湖西苑],1
财富中心,星光大道[龙湖西苑],4
财富中心,高新园,3
渝富大厦,高新园,3
渝富大厦,青枫北路,1
耐德工业园,青枫北路,1
耐德工业园,光电园(轨道站),1
光电园(轨道站),幸福广场[南],3
幸福广场[南],上丁公园,1
华唐路,学田湾[上清寺消防队],2
大礼堂,学田湾[上清寺消防队],9
大溪沟(静园),大溪沟,4
大溪沟,黄花园,5
黄花园,双溪沟[黄花园],2
南坪协信城,南坪北路,1
四公里绿洲龙城,南坪协信城,1
四公里绿洲龙城,南坪中学后门,2
鱼洞长江大桥,大江西路口,1
滕王阁,大江西路口,3
滕王阁,全善中学,3
巴中桥,全善中学,1
巴南区市实验中学,巴中桥,1
巴南市政支路口,巴南区市实验中学,6
巴南市政支路口,巴南建行支路口,6
新农街,巴南建行支路口,6
新农街,巴南妇幼保健院,6
巴南妇幼保健院,解放街路口,4
新市街,解放街路口,2
新市街,窑坝,1
窑坝街中段,窑坝,1
窑坝街中段,龙洲大道路口,1
