王府井路口北,校尉胡同
王府井路口北,正义路
王府井路口北,台基厂路口西
校尉胡同,新东安市场
校尉胡同,米市大街
新东安市场,东安门大街
东安门大街,骑河楼
骑河楼,沙滩路口南
骑河楼,东安门
骑河楼,沙滩路口北
骑河楼,锡拉胡同
崇文门西,崇文门内
崇文门西,打磨厂
崇文门西,东便门
崇文门西,台基厂路口西
崇文门西,北京站前街
崇文门西,崇文门东
崇文门西,北京站东
崇文门西,磁器口北
崇文门西,花市路口南
崇文门西,正义路
崇文门西,羊市口
崇文门内,东单路口北
崇文门内,磁器口北
崇文门内,崇文门
崇文门内,花市路口南
崇文门内,东单路口南
崇文门内,东单路口东
东单路口北,米市大街
东单路口北,东单路口南
东单路口北,东单路口东
米市大街,灯市东口
灯市东口,灯市西口
灯市东口,东四路口南
灯市西口,美术馆北
灯市西口,美术馆
美术馆北,大佛寺
美术馆北,沙滩路口南
大佛寺,宽街路口南
宽街路口南,北兵马司
宽街路口南,亮果厂
宽街路口南,南锣鼓巷
北兵马司,交道口南
北兵马司,宽街路口东
北兵马司,亮果厂
北兵马司,南锣鼓巷
交道口南,方家胡同
交道口南,北新桥路口西
方家胡同,安定门内
方家胡同,小经厂
安定门内,地坛西门
地坛西门,蒋宅口东
地坛西门,蒋宅口
地坛西门,安定门
地坛西门,和平里中街西口
地坛西门,地毯体育馆
地坛西门,雍和宫桥东
地坛西门,兴化路南口
地坛西门,青年湖东里
蒋宅口东,兴化路南口
蒋宅口东,地毯体育馆
兴化路南口,和平里北街
兴化路南口,和平西桥南
和平里北街,和平里路口西
和平里北街,地铁和平里北街站
和平里北街,和平里路口北
和平里路口西,地铁柳芳站
和平里路口西,地铁柳芳站(西行)
和平里路口西,和平里东街
地铁柳芳站,柳芳北街
地铁柳芳站,东土城路
地铁柳芳站,和平里路口东
地铁柳芳站,和平里路口北
柳芳北街,国际展览中心
柳芳北街,柳芳北里
国际展览中心,静安庄东
国际展览中心,七圣南路
